Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin
0,3,male,22.0,1,0,7.25,
1,1,female,38.0,1,0,71.2833,C85
1,3,female,26.0,0,0,7.925,
1,1,female,35.0,1,0,53.1,C123
0,3,male,35.0,0,0,8.05,
0,3,male,0.0,0,0,8.4583,
0,1,male,54.0,0,0,51.8625,E46
0,3,male,2.0,3,1,21.075,
1,3,female,27.0,0,2,11.1333,
1,2,female,14.0,1,0,30.0708,
1,3,female,4.0,1,1,16.7,G6
1,1,female,58.0,0,0,26.55,C103
0,3,male,20.0,0,0,8.05,
0,3,male,39.0,1,5,31.275,
0,3,female,14.0,0,0,7.8542,
1,2,female,55.0,0,0,16.0,
0,3,male,2.0,4,1,29.125,
1,2,male,0.0,0,0,13.0,
0,3,female,31.0,1,0,18.0,
1,3,female,0.0,0,0,7.225,
0,2,male,35.0,0,0,26.0,
1,2,male,34.0,0,0,13.0,D56
1,3,female,15.0,0,0,8.0292,
1,1,male,28.0,0,0,35.5,A6
0,3,female,8.0,3,1,21.075,
1,3,female,38.0,1,5,31.3875,
0,3,male,0.0,0,0,7.225,
0,1,male,19.0,3,2,263.0,C23 C25 C27
1,3,female,0.0,0,0,7.8792,
0,3,male,0.0,0,0,7.8958,
0,1,male,40.0,0,0,27.7208,
1,1,female,0.0,1,0,146.5208,B78
1,3,female,0.0,0,0,7.75,
0,2,male,66.0,0,0,10.5,
0,1,male,28.0,1,0,82.1708,
0,1,male,42.0,1,0,52.0,
1,3,male,0.0,0,0,7.2292,
0,3,male,21.0,0,0,8.05,
0,3,female,18.0,2,0,18.0,
1,3,female,14.0,1,0,11.2417,
0,3,female,40.0,1,0,9.475,
0,2,female,27.0,1,0,21.0,
0,3,male,0.0,0,0,7.8958,
1,2,female,3.0,1,2,41.5792,
1,3,female,19.0,0,0,7.8792,
0,3,male,0.0,0,0,8.05,
0,3,male,0.0,1,0,15.5,
1,3,female,0.0,0,0,7.75,
0,3,male,0.0,2,0,21.6792,
0,3,female,18.0,1,0,17.8,
